step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
14,11,raspberry_pi,good,moderate,54.63,33.28,100.0,102.23,8.73,11.97,11.44,7.37,0.75,4.32
15,11,raspberry_pi,good,moderate,56.32,33.32,100.0,101.84,8.51,12.09,13.9,6.47,0.76,4.25
16,11,raspberry_pi,good,moderate,70.59,34.08,100.0,99.48,8.51,12.16,23.84,6.36,1.1,4.81
17,11,raspberry_pi,good,moderate,61.52,33.67,100.0,105.76,8.09,11.93,10.93,5.66,0.93,3.76
18,11,raspberry_pi,good,moderate,62.84,32.89,100.0,101.68,7.48,11.94,16.47,5.66,0.98,5.1
19,11,raspberry_pi,good,moderate,70.95,30.35,100.0,97.28,7.89,11.99,22.06,3.27,0.76,4.24
0,12,raspberry_pi,good,busy,49.65,25.72,100.0,95.08,9.98,25.64,23.7,3.69,1.06,9.86
1,12,raspberry_pi,good,busy,60.39,28.37,100.0,99.58,9.72,26.98,18.66,4.91,1.41,9.07
2,12,raspberry_pi,good,busy,54.96,32.37,100.0,96.73,9.4,28.6,10.84,7.95,1.05,7.68
3,12,raspberry_pi,good,busy,56.46,30.54,100.0,99.92,8.97,30.6,14.1,3.71,1.5,8.57
4,12,raspberry_pi,good,busy,61.88,33.3,100.0,94.12,8.92,32.68,16.57,7.49,0.88,6.83
5,12,raspberry_pi,good,busy,72.82,34.03,100.0,92.75,8.92,35.24,23.39,6.67,0.64,8.23
6,12,raspberry_pi,good,busy,76.25,32.95,100.0,95.86,8.9,37.54,20.51,5.23,1.08,6.12
7,12,raspberry_pi,good,busy,72.72,31.13,100.0,94.35,8.68,39.97,17.27,4.18,0.84,8.46
8,12,raspberry_pi,good,busy,79.74,30.48,100.0,94.86,8.79,42.7,23.42,4.82,0.52,7.78
9,12,raspberry_pi,good,busy,71.85,32.88,100.0,95.53,8.92,45.36,15.32,6.83,0.58,6.25
10,12,raspberry_pi,good,busy,66.62,32.36,100.0,100.54,8.3,48.25,13.45,5.32,0.66,8.7
11,12,raspberry_pi,good,busy,64.02,33.86,100.0,99.02,8.53,51.39,14.11,6.91,1.3,8.56
12,12,raspberry_pi,good,busy,68.41,32.74,100.0,100.31,8.06,54.73,19.07,4.92,0.92,8.7
13,12,raspberry_pi,good,busy,70.01,30.3,100.0,100.81,8.24,57.69,18.67,3.49,1.04,6.0
14,12,raspberry_pi,good,busy,75.85,31.76,100.0,105.3,7.83,60.67,22.56,5.98,1.16,8.44
15,12,raspberry_pi,good,busy,72.81,34.08,100.0,106.39,7.71,63.89,18.35,7.65,1.32,6.78
16,12,raspberry_pi,good,busy,80.21,31.36,100.0,105.17,7.83,67.11,24.41,3.47,0.7,8.0
17,12,raspberry_pi,good,busy,67.24,30.22,100.0,104.26,7.66,70.44,11.93,4.01,1.24,9.16
18,12,raspberry_pi,good,busy,72.77,29.9,100.0,105.62,7.13,73.49,22.06,4.3,0.59,6.04
19,12,raspberry_pi,good,busy,65.6,32.68,100.0,106.49,7.22,76.95,12.77,7.35,0.97,9.65
0,13,raspberry_pi,moderate,idle,36.01,29.19,100.0,47.63,23.15,5.09,11.36,7.75,0.65,0.59
1,13,raspberry_pi,moderate,idle,47.51,31.51,100.0,48.7,23.17,5.08,15.27,6.61,1.47,2.45
2,13,raspberry_pi,moderate,idle,54.09,31.52,100.0,43.31,23.68,5.07,15.82,5.03,1.22,2.45
